sr. no.,username,user id,name,group,Status
102,vahidasghari61,707815973,📡📡📡ماهواره وحید 🌹🌹فروش&نصب ✌✌,https://t.me/Tamiratreceiverdigitall,20210701
103,vahidsvhb,75501869,""" Vahid """,https://t.me/Tamiratreceiverdigitall,20210731
104,Taraj_v66,1262748389,Taraj,https://t.me/Tamiratreceiverdigitall,20210724
105,vcconnect,131941294,A,https://t.me/Tamiratreceiverdigitall,20210731
106,niralabpl,472069617,Nirala,https://t.me/Tamiratreceiverdigitall,20210731
107,Vahi168,189115787,@Vahid,https://t.me/Tamiratreceiverdigitall,20210731
108,Vahid_bgr70,391812517,VAHID BAGERI,https://t.me/Tamiratreceiverdigitall,20210731
109,VampireDoll,138867517,H F,https://t.me/Tamiratreceiverdigitall,20210731
110,uc3875,254844607,مسافری غریب,https://t.me/Tamiratreceiverdigitall,20210731
111,A_r_u_n_SAP,304545624,Arun prasath,https://t.me/Tamiratreceiverdigitall,20210731
112,u74ux102,274860377,میرحاج,https://t.me/Tamiratreceiverdigitall,20210731
113,Bahram_Unudolmaz,841623271,Bahram.,https://t.me/Tamiratreceiverdigitall,20210724
114,Kali_me,165184583,See U...,https://t.me/Tamiratreceiverdigitall,20210731
115,UOSF61,115026186,MOjtaba,https://t.me/Tamiratreceiverdigitall,20210731
116,INTERISTA5,90877740,B£|-|®uZ,https://t.me/Tamiratreceiverdigitall,20210731
117,U2Enterprise,448531982,Uttam,https://t.me/Tamiratreceiverdigitall,20210731
118,Uoltimo,129746810,naji,https://t.me/Tamiratreceiverdigitall,20210701
119,Darbedar_u2,80964076,MohamadReza,https://t.me/Tamiratreceiverdigitall,20210731
120,Tanish_moradi,137375827,Tanish,https://t.me/Tamiratreceiverdigitall,20210731
121,TR0611,65166470,╚═(█ 🇹 🇦 🇭 🇪 🇷 ♈ 🇸 🇮█)═╝,https://t.me/Tamiratreceiverdigitall,20210731
122,Mahvare4k,501000036,Toofan,https://t.me/Tamiratreceiverdigitall,20210731
123,elghost_te,1337093233,electronic,https://t.me/Tamiratreceiverdigitall,20210731
124,Benyamin007,111907833,Benyamin,https://t.me/Tamiratreceiverdigitall,20210731
125,Turchi1985,51163603,Turchi,https://t.me/Tamiratreceiverdigitall,20210731
126,torajshokrolahi,116777037,Toraj,https://t.me/Tamiratreceiverdigitall,20210731
127,rk4440rk,357981549,**N R K. E L E C T R O N I C S**,https://t.me/Tamiratreceiverdigitall,20210731
128,Sobhaanb,110146441,️㊙Sobhan-Tele🕕,https://t.me/Tamiratreceiverdigitall,20210731
129,taher110,401911470,taher,https://t.me/Tamiratreceiverdigitall,20210731
130,Hashem_tt,78115773,Hashem,https://t.me/Tamiratreceiverdigitall,20210731
131,TALSHBIEND,325768640,تلاش,https://t.me/Tamiratreceiverdigitall,20210731
132,Team_AoRE_SM,135533036,Service Manual,https://t.me/Tamiratreceiverdigitall,20210731
133,txt2021h,1720253705,r,https://t.me/Tamiratreceiverdigitall,20210701
134,tamirat53,557402241,A,https://t.me/Tamiratreceiverdigitall,20210731
135,tv7660,467492911,😎,https://t.me/Tamiratreceiverdigitall,20210731
136,HiDreamer,249939583,TheLight,https://t.me/Tamiratreceiverdigitall,20210731
137,Ptaabodi,103266828,POORIA,https://t.me/Tamiratreceiverdigitall,20210731
138,mehditahmuresi,94789040,Mehdi,https://t.me/Tamiratreceiverdigitall,20210731
139,tSAT1,81937138,tSAT,https://t.me/Tamiratreceiverdigitall,20210731
140,Tonekabon_Ramsar,790281594,P . N,https://t.me/Tamiratreceiverdigitall,20210724
141,shahab_tk,96932099,Shahab tk,https://t.me/Tamiratreceiverdigitall,20210731
142,taksavar12345577,1528859715,🤲,https://t.me/Tamiratreceiverdigitall,20210731
143,Tabe_sard2566,255641337,▂▃▄▅▆▇█▓▒░Sina░▒▓█▇▆▅▄▃▂,https://t.me/Tamiratreceiverdigitall,20210731
144,CCCAM24H,992055569,TNSTAR,https://t.me/Tamiratreceiverdigitall,20210731
145,PcTikNet,1198109887,Tik,https://t.me/Tamiratreceiverdigitall,20210701
146,Tamirat_television,75520431,محمدزاده,https://t.me/Tamiratreceiverdigitall,20210701
147,Tv9965,214192422,R@3ol mor@di,https://t.me/Tamiratreceiverdigitall,20210731
148,Tv_repair1,1340287603,Repair,https://t.me/Tamiratreceiverdigitall,20210731
149,Taba666taba,139233373,Taba,https://t.me/Tamiratreceiverdigitall,20210731
150,Jvd_Artificer,636608511,Javad,https://t.me/Tamiratreceiverdigitall,20210731
151,Hadi_tezh,303108170,Hadi,https://t.me/Tamiratreceiverdigitall,20210731
152,Teerdad4040,1475995836,🌱🌱Teerdad 🌱🌱,https://t.me/Tamiratreceiverdigitall,20210731
153,hojjat13131313,134660147,h,https://t.me/Tamiratreceiverdigitall,20210731
154,Takhsha,102513436,#فنی_مهندسی_تخشا,https://t.me/Tamiratreceiverdigitall,20210731
155,Fatitajari,1102760795,Fateme,https://t.me/Tamiratreceiverdigitall,20210731
156,SHAAHIN3,88602754,tasviran electronics,https://t.me/Tamiratreceiverdigitall,20210701
157,master_remontali,1034268713,"LCD,LED,TV.SERVICE",https://t.me/Tamiratreceiverdigitall,20210731
158,Omid_tv_tamirat,416459377,mahan,https://t.me/Tamiratreceiverdigitall,20210701
159,TAMIRKARAAN,167051909,RaDinElectronic,https://t.me/Tamiratreceiverdigitall,20210731
160,tofanerohmf,738780974,m@tin,https://t.me/Tamiratreceiverdigitall,20210731
161,Phoenix_Technical,745105034,PHOENIX,https://t.me/Tamiratreceiverdigitall,20210731
162,tabrik22,160829803,Sad,https://t.me/Tamiratreceiverdigitall,20210731
163,reza_t72,68749414,Reza,https://t.me/Tamiratreceiverdigitall,20210731
164,Reza_tak0001,272963998,Ｒｅｚａ,https://t.me/Tamiratreceiverdigitall,20210731
165,tvstarvahid,135362736,tvstar,https://t.me/Tamiratreceiverdigitall,20210731
166,tkgunner1,1000350888,ttr,https://t.me/Tamiratreceiverdigitall,20210731
167,baroon50,702546935,rasoull_rahimi@taji💙💙💙💙,https://t.me/Tamiratreceiverdigitall,20210731
168,Behnam_M_Tabar,120238159,Behnam,https://t.me/Tamiratreceiverdigitall,20210731
169,Hosainmkkari,797237955,Tm,https://t.me/Tamiratreceiverdigitall,20210731
170,Nika7434,967755458,K@mal@i S@t,https://t.me/Tamiratreceiverdigitall,20210731
171,T3hossein,126786232,HOSSEIN,https://t.me/Tamiratreceiverdigitall,20210731
172,Eng_Repair_Technician_2021,142037672,ℳℰℋℛのᎯの,https://t.me/Tamiratreceiverdigitall,20210731
173,Talemashreg,68860920,ilya313,https://t.me/Tamiratreceiverdigitall,20210724
174,Bitohargez76,1114227212,Bi to,https://t.me/Tamiratreceiverdigitall,20210724
175,Mehrdad_talakoob,460159174,Mehrdad,https://t.me/Tamiratreceiverdigitall,20210731
176,amir_hosseinthth,621885290,Amirhossein,https://t.me/Tamiratreceiverdigitall,20210731
177,STAR_T1,298781197,‌‌‌‌‌‌‌ ☣⚛ԋαɱҽԃ⚛☣,https://t.me/Tamiratreceiverdigitall,20210731
178,Shirkokamangar,1425531028,Shirko,https://t.me/Tamiratreceiverdigitall,20210731
179,b660ah,644910026,Shayan,https://t.me/Tamiratreceiverdigitall,20210731
180,shahaben,853680475,Shahab,https://t.me/Tamiratreceiverdigitall,20210731
181,Siemensmajid,111435426,Majid,https://t.me/Tamiratreceiverdigitall,20210731
182,Shahrokh919,210073073,سیدعباس,https://t.me/Tamiratreceiverdigitall,20210731
183,adsali00,203178099,Sajad,https://t.me/Tamiratreceiverdigitall,20210731
184,shahabsat,263405034,Gh .,https://t.me/Tamiratreceiverdigitall,20210731
185,Saadati131313,172068551,Hasan,https://t.me/Tamiratreceiverdigitall,20210731
186,Sozuki5,309483921,Mamadi,https://t.me/Tamiratreceiverdigitall,20210731
187,SAT_DVB48,300094172,👥amin,https://t.me/Tamiratreceiverdigitall,20210731
188,MMMSsssd432,534060973,S&e&n,https://t.me/Tamiratreceiverdigitall,20210731
189,Sina_jzad,142500765,SI NA,https://t.me/Tamiratreceiverdigitall,20210731
190,Signalll,186185982,Signalll,https://t.me/Tamiratreceiverdigitall,20210731
191,starshare,145511869,مبین,https://t.me/Tamiratreceiverdigitall,20210731
192,SENOO82,1030458926,سید علی,https://t.me/Tamiratreceiverdigitall,20210731
193,Satpershia_62,104184094,"Mahdy,62",https://t.me/Tamiratreceiverdigitall,20210731
194,Manoto1395,348499873,Sayad,https://t.me/Tamiratreceiverdigitall,20210731
195,alaktron,227350867,shahram,https://t.me/Tamiratreceiverdigitall,20210731
196,saeedjodari,65161492,تعمیرگاه مرکزی تلوزیون های LCD&LED جداری,https://t.me/Tamiratreceiverdigitall,20210731
197,sama1893,216496656,A,https://t.me/Tamiratreceiverdigitall,20210731
198,Saana_service1,1744553080,سنا سرویس (Saanaservice),https://t.me/Tamiratreceiverdigitall,20210731
199,Amirsadraie,398538119,Amir,https://t.me/Tamiratreceiverdigitall,20210731
200,only4unp,1792829940,Indra Kumar,https://t.me/Tamiratreceiverdigitall,20210731
201,Saajjada,69274111,S@j@d,https://t.me/Tamiratreceiverdigitall,20210731
202,Mehran_shn,97413424,Mehran,https://t.me/Tamiratreceiverdigitall,20210731
203,shkasbeer,702226462,عہۣۗازف,https://t.me/Tamiratreceiverdigitall,20210731
204,Habibi3062,176087634,ˢHͣaͤbͥiͩbi,https://t.me/Tamiratreceiverdigitall,20210731
205,Starsat_shiraz,175063300,Behesht aeen,https://t.me/Tamiratreceiverdigitall,20210701
206,SA2194,164617009,سعید,https://t.me/Tamiratreceiverdigitall,20210731
207,D64529AS,132041991,sepas,https://t.me/Tamiratreceiverdigitall,20210731
208,Ar_sh0,133920145,S.m,https://t.me/Tamiratreceiverdigitall,20210724
209,M_2100,106623768,Mahmoud,https://t.me/Tamiratreceiverdigitall,20210724
210,Shahabtp9,1770427679,Shahab,https://t.me/Tamiratreceiverdigitall,20210731
211,Sh7369,48129034,مهدی 📡,https://t.me/Tamiratreceiverdigitall,20210731
212,shayeganpebdani,93709066,SHAYEGAN,https://t.me/Tamiratreceiverdigitall,20210731
213,starMax01,546351048,👈💘بهروز💘👉,https://t.me/Tamiratreceiverdigitall,20210731
214,Saeed69m,212848458,Saeed,https://t.me/Tamiratreceiverdigitall,20210731
215,Sohrun,128437946,فتاحی,https://t.me/Tamiratreceiverdigitall,20210731
216,Ho3ein_sbr,284422014,⚜️🔱Ho3ein🔱⚜️,https://t.me/Tamiratreceiverdigitall,20210731
217,s20200,90814019,S,https://t.me/Tamiratreceiverdigitall,20210731
218,Saman_rm,97758349,Ramin,https://t.me/Tamiratreceiverdigitall,20210731
219,Msn75,1118695016,Saàdtnia,https://t.me/Tamiratreceiverdigitall,20210731
220,Saz92,255026776,❤ FAMS.LOVERS❤,https://t.me/Tamiratreceiverdigitall,20210731
221,soroushhayavi,107508261,Soroush,https://t.me/Tamiratreceiverdigitall,20210731
222,Satellite1364,282861634,یعقوب.,https://t.me/Tamiratreceiverdigitall,20210731
223,Sa2jad,118253398,•Sa2jad••,https://t.me/Tamiratreceiverdigitall,20210731
224,sat_100,152258970,Ehsan,https://t.me/Tamiratreceiverdigitall,20210731
225,Milad_az_samy,686095043,Mïłäď,https://t.me/Tamiratreceiverdigitall,20210731
226,samadi_rafi,142446523,samadi,https://t.me/Tamiratreceiverdigitall,20210731
227,sgp052,1448499291,Rahman.sarvary,https://t.me/Tamiratreceiverdigitall,20210731
228,shahriar_rad,61083877,@ishahriar,https://t.me/Tamiratreceiverdigitall,20210731
229,Khaneh_sakht_afzar_admin,136337901,حمید نتاج,https://t.me/Tamiratreceiverdigitall,20210731
230,SatMasoud,114162783,ℳᎯЅᎾUⅅ,https://t.me/Tamiratreceiverdigitall,20210731
231,horisat,124159546,H,https://t.me/Tamiratreceiverdigitall,20210731
232,Ali8k64546,836806499,@Ali.SIRJAN SAT,https://t.me/Tamiratreceiverdigitall,20210731
233,shoorr,90643774,Reza,https://t.me/Tamiratreceiverdigitall,20210701
234,M_System1,121506962,M.System,https://t.me/Tamiratreceiverdigitall,20210731
235,Behzadsohrabpour2,190778245,Behzad,https://t.me/Tamiratreceiverdigitall,20210731
236,seiydJ,716969381,..s.j.a....,https://t.me/Tamiratreceiverdigitall,20210731
237,Starulduz,606714396,4k,https://t.me/Tamiratreceiverdigitall,20210731
238,SHH_PHD,76314729,Shh,https://t.me/Tamiratreceiverdigitall,20210731
239,akbarSattri,103203652,Akbar,https://t.me/Tamiratreceiverdigitall,20210731
240,AHC_service_center,1337883688,تعمیر لپتاپ کامپیوتر آیفون مک بوک سرفیس مودم گرافیک هارد,https://t.me/Tamiratreceiverdigitall,20210731
241,REZA313FAR,434319774,Rayan South Computer Center,https://t.me/Tamiratreceiverdigitall,20210731
242,Milad_Salmii,721722851,میلاد,https://t.me/Tamiratreceiverdigitall,20210731
243,Smd_sedaghat,408987021,Sedaghat,https://t.me/Tamiratreceiverdigitall,20210731
244,ALBORZELEKTRONIK,127221814,S,https://t.me/Tamiratreceiverdigitall,20210731
245,Ledlcdbord,501458700,Ali.shahdadi,https://t.me/Tamiratreceiverdigitall,20210731
246,M_sepahi21,526159450,M-s,https://t.me/Tamiratreceiverdigitall,20210731
247,Sinabaradarann,65930214,Sina,https://t.me/Tamiratreceiverdigitall,20210731
248,Saleh_chz,170948125,صالح,https://t.me/Tamiratreceiverdigitall,20210731
249,Shahryarrazan,261114344,رادوین,https://t.me/Tamiratreceiverdigitall,20210731
250,SoheilStarrr,827079099,S,https://t.me/Tamiratreceiverdigitall,20210731
251,ShervinShabani,93270235,Shervin,https://t.me/Tamiratreceiverdigitall,20210731
252,m_sadeghisat,595193139,M_sadeghi,https://t.me/Tamiratreceiverdigitall,20210701
253,Samsongsam,235421434,Mohammad,https://t.me/Tamiratreceiverdigitall,20210731
254,samanmansouri,137932543,sam,https://t.me/Tamiratreceiverdigitall,20210731
255,sate4k,214857831,☆ Rasol ☆,https://t.me/Tamiratreceiverdigitall,20210731
256,Sanjar6707,545149146,Sanjar,https://t.me/Tamiratreceiverdigitall,20210731
257,Hamedsartipi,43123916,Hamed.s,https://t.me/Tamiratreceiverdigitall,20210701
258,M_sat99,95479353,M. Sat,https://t.me/Tamiratreceiverdigitall,20210724
259,satllite2,111903838,Arian,https://t.me/Tamiratreceiverdigitall,20210724
260,Omid_Smart1,184975199,Omid,https://t.me/Tamiratreceiverdigitall,20210731
261,Pouya_000_a,553200379,Shahryar,https://t.me/Tamiratreceiverdigitall,20210731
262,SBadboy29,523718765,M.gh,https://t.me/Tamiratreceiverdigitall,20210731
263,fireston8,847824846,Saman,https://t.me/Tamiratreceiverdigitall,20210731
264,SH1129,163173359,SH-A,https://t.me/Tamiratreceiverdigitall,20210731
265,STARMAXistar,344446339,کیوان,https://t.me/Tamiratreceiverdigitall,20210731
266,siyavash3,205372897,Siavash,https://t.me/Tamiratreceiverdigitall,20210731
267,Seyed_mogtaba,401807173,سیدمجتبی,https://t.me/Tamiratreceiverdigitall,20210731
268,Msbalouch,63086312,Saeed,https://t.me/Tamiratreceiverdigitall,20210731
269,HirkaniaMsn,546684464,M.s.n,https://t.me/Tamiratreceiverdigitall,20210731
270,satelliteeee,27907902,‍📡mostafa,https://t.me/Tamiratreceiverdigitall,20210731
271,ShadowDancer,190318072,Shadow Dancer,https://t.me/Tamiratreceiverdigitall,20210731
272,Ardabil_sat,424162445,иiмл,https://t.me/Tamiratreceiverdigitall,20210731
273,Saeidkhalili_Heq,391748259,S,https://t.me/Tamiratreceiverdigitall,20210731
274,Sardar59,86682221,Sardar,https://t.me/Tamiratreceiverdigitall,20210731
275,somamohamady1365,940192667,soma,https://t.me/Tamiratreceiverdigitall,20210731
276,KAMBIZ1216,111925589,Sky,https://t.me/Tamiratreceiverdigitall,20210731
277,Novinsian,115236672,Studio.Novin,https://t.me/Tamiratreceiverdigitall,20210731
278,sadelm,1171805772,Adel,https://t.me/Tamiratreceiverdigitall,20210731
279,Saeid3098,302403286,Saeid,https://t.me/Tamiratreceiverdigitall,20210731
280,SASAN_FORO,835326216,Sasan,https://t.me/Tamiratreceiverdigitall,20210731
281,khan2020Fa,344414243,king shoaib khan,https://t.me/Tamiratreceiverdigitall,20210731
282,Hamedan_satellite,177991145,Saeed,https://t.me/Tamiratreceiverdigitall,20210731
283,safari21,234595846,omid,https://t.me/Tamiratreceiverdigitall,20210701
284,sasitvshop,356854564,Sasi,https://t.me/Tamiratreceiverdigitall,20210731
285,rreza95,101361113,Reza,https://t.me/Tamiratreceiverdigitall,20210731
286,jalil_salehi_niya,650493163,Jalil,https://t.me/Tamiratreceiverdigitall,20210701
287,Sozzlarim,125545878,Palm OTMas,https://t.me/Tamiratreceiverdigitall,20210731
288,Soheilghsoheil,558956015,Soheil,https://t.me/Tamiratreceiverdigitall,20210701
289,Realsadeghkh,1251700463,S.d.q,https://t.me/Tamiratreceiverdigitall,20210731
290,Siavashrap,603799030,.,https://t.me/Tamiratreceiverdigitall,20210701
291,saeidkqz4,246484616,♠⏳⏳⏳♠,https://t.me/Tamiratreceiverdigitall,20210731
292,soltaneghalbha,32908395,SOLTANE GHALBHA,https://t.me/Tamiratreceiverdigitall,20210731
293,Davood55556,752763213,Davood,https://t.me/Tamiratreceiverdigitall,20210731
294,Bs_7787,239060344,B.s,https://t.me/Tamiratreceiverdigitall,20210724
295,Suzukix1000,416661184,🎸,https://t.me/Tamiratreceiverdigitall,20210731
296,Dreamboxsupports,311232593,M@soud-sat,https://t.me/Tamiratreceiverdigitall,20210731
297,Satellite64,70740536,Satellite,https://t.me/Tamiratreceiverdigitall,20210731
298,srroj,407011480,r,https://t.me/Tamiratreceiverdigitall,20210731
299,Shaz8131,95099697,📺صوتی وتصویری سیاوش آذرنژاد🎶,https://t.me/Tamiratreceiverdigitall,20210724
300,Mortezasepehri,101886477,Morteza,https://t.me/Tamiratreceiverdigitall,20210731
301,salman659,81585182,Rahim,https://t.me/Tamiratreceiverdigitall,20210731
302,SESdezfoul,35586951,Ahmad Saba,https://t.me/Tamiratreceiverdigitall,20210731
303,silentScream10,565641063,تعمیرات بردهای الکترونیکی؛رسیور و دیشگردان؛,https://t.me/Tamiratreceiverdigitall,20210731
304,S0ne11,167046669,سونی1,https://t.me/Tamiratreceiverdigitall,20210731
305,Forever_265,1573466346,🌟 SKY 4K 🌟,https://t.me/Tamiratreceiverdigitall,20210731
306,Danialshourideh121,510991519,Dan,https://t.me/Tamiratreceiverdigitall,20210731
307,sirwan67,32677992,Sirwan,https://t.me/Tamiratreceiverdigitall,20210731
308,soormansoor,199959460,Mansoor,https://t.me/Tamiratreceiverdigitall,20210701
309,Msayaf,139145703,mehdi,https://t.me/Tamiratreceiverdigitall,20210701
